"FK_STEIG_ID_VON";"FK_STEIG_ID_NACH";"GEOMETRIE_WGS84"
214714609;214714611;"LINESTRING (16.0722324027214 48.5629146439406, 16.0721647 48.5612509, 16.072141 48.5605944, 16.0721164 48.5601177, 16.0720909 48.5598119, 16.0720387 48.5594251, 16.0719729 48.5590563, 16.0718932 48.5587503, 16.0717865 48.5584264, 16.0716663 48.5581023, 16.0715056 48.5577513, 16.0713179 48.5573731, 16.070325 48.5555453, 16.0699627 48.554888, 16.0697483 48.5544379, 16.0695608 48.5540418, 16.069387 48.5535918, 16.0692669 48.5532587, 16.0691868 48.5530248, 16.0690937 48.5527098, 16.0689605 48.5522688, 16.0686285 48.5510181, 16.0681106 48.5490475, 16.0676191 48.5472208, 16.0674198 48.5464919, 16.0670213 48.5450342, 16.0659592 48.541003, 16.0653747 48.5388703, 16.0638746 48.5332553, 16.0630648 48.5302498, 16.0627729 48.5291341, 16.0626802 48.5287651, 16.0626143 48.5284233, 16.0625754 48.5280994, 16.0625641 48.5276857, 16.0626068 48.5272991, 16.0626765 48.5269216, 16.0628004 48.5265532, 16.0629649 48.5261759, 16.0631973 48.5257538, 16.0634292 48.5254306, 16.0637017 48.5250985, 16.0639875 48.5248204, 16.0643684 48.5244796, 16.064681 48.5242555, 16.0650207 48.5240135, 16.0659986 48.5234223, 16.067017 48.5228401, 16.067601 48.5224908, 16.0678862 48.5223116, 16.0684026 48.5219351, 16.0688242 48.5215674, 16.069178 48.5212265, 16.0696409 48.520715, 16.0702264 48.5200599, 16.0712067 48.518983, 16.0718738 48.5182471, 16.0723231 48.5177446, 16.0745808194966 48.5152670085781)"
214714611;214714612;"LINESTRING (16.0746374 48.5151959, 16.0748823 48.5149536, 16.0751 48.5147293, 16.0753719 48.5144871, 16.0757525 48.5141822, 16.0762417 48.5138146, 16.0768663 48.5134204, 16.0774228 48.5131159, 16.0779791 48.5128383, 16.0784539 48.5126236, 16.0788066 48.5124805, 16.0791049 48.5123732, 16.0794168 48.512248, 16.081749 48.5114079, 16.1046197 48.5030839, 16.1099465 48.5011431, 16.1146494 48.4994436, 16.1198129 48.4975559, 16.1203957 48.4973322, 16.1208295 48.4971442, 16.1212904 48.4969292, 16.1216837 48.4967231, 16.1220363 48.4965259, 16.1224704 48.4962659, 16.1228503 48.4960148, 16.1230945 48.4958444, 16.1233524 48.4956471, 16.1235696 48.4954856, 16.1237733 48.4953151, 16.1239769 48.4951446, 16.1243572 48.4947946, 16.1248192 48.4943278, 16.1264498 48.4926312)"
214714612;214714614;"LINESTRING (16.1264910225205 48.492590019721, 16.1271427 48.491931, 16.1291264 48.4898662, 16.130227 48.4886812, 16.1309607 48.4878911, 16.1342753 48.4844437, 16.1347506 48.4839679, 16.1350765 48.4836628, 16.1355108 48.4833038, 16.1359314 48.4829718, 16.1363519 48.4826848, 16.1366638 48.4824785, 16.137057 48.4822453, 16.1376263 48.4819406, 16.1381549 48.4816717, 16.1387646 48.4814119, 16.1393336 48.4811881, 16.1397806 48.481027, 16.1402275 48.4808749, 16.1431665 48.4798996, 16.1448594 48.4793359, 16.1456584 48.4790585, 16.1463356 48.4788168, 16.1467827 48.4786287, 16.1472568 48.4784316, 16.1477039 48.4782345, 16.1481917 48.4780015, 16.1486795 48.4777595, 16.1491809 48.4774905, 16.1497637 48.4771677, 16.1501975 48.4768986, 16.1506449 48.4766116, 16.1511466 48.4762706, 16.1515398 48.4759925, 16.1520688 48.4755797, 16.1523672 48.4753373, 16.1527606 48.4750052, 16.1531813 48.4746192, 16.153602 48.4742062, 16.1541993 48.4735957, 16.1566289 48.4711175, 16.1585698 48.4691151, 16.158814 48.4688816)"
214714614;214714615;"LINESTRING (16.1588754158657 48.4688190040065, 16.1603204 48.4673462, 16.1654226 48.462102, 16.1684616 48.459004, 16.1714324 48.4559777, 16.1718123 48.4555466, 16.172111 48.4551603, 16.172342 48.4548099, 16.1727228 48.454109, 16.1729541 48.4536417, 16.1731584 48.4531654, 16.1732542 48.4527968, 16.1733505 48.4522844, 16.1733926 48.4517898, 16.1734074 48.4513941, 16.1733951 48.4510164, 16.1733561 48.4505218, 16.1731723 48.4488129)"
214714615;214714616;"LINESTRING (16.173157168123 48.448668497311, 16.1730149 48.4473108, 16.1728578 48.4457099, 16.1728186 48.4452872, 16.1728198 48.4449364, 16.1728482 48.4444868, 16.1729037 48.4440643, 16.1730271 48.4435159, 16.1735615 48.4412145, 16.174082 48.4390659, 16.1750134 48.4351643, 16.1754377 48.4334383, 16.1755747 48.4328629, 16.1756433 48.4325213, 16.175671 48.4323325, 16.1756986 48.4321257, 16.1757135 48.431685, 16.175715 48.4312264, 16.1756624 48.4307497, 16.175556 48.430219, 16.1754358 48.4297692, 16.1752884 48.4293733, 16.1751812 48.4291033)"
214714616;214714618;"LINESTRING (16.1751582261689 48.4290596897254, 16.1751006 48.4289503, 16.1749663 48.4286894, 16.1747646 48.4283563, 16.174509 48.4280053, 16.1742398 48.4276632, 16.1739166 48.427321, 16.1736877 48.4270958, 16.1734452 48.4268617, 16.1732835 48.4267086, 16.1731488 48.4265825, 16.1729467 48.4263933, 16.1726638 48.4261411, 16.1723404 48.4258619, 16.1717879 48.4254115, 16.1714375 48.4251232, 16.1701842 48.4241052, 16.1687828 48.4229611, 16.1683786 48.4226277, 16.1680688 48.4223215, 16.1677727 48.4219794, 16.1675711 48.4216733, 16.1673965 48.4213673, 16.1672624 48.4210524, 16.1671686 48.4208094, 16.1670887 48.4204766, 16.1670493 48.4201258, 16.167037 48.419757, 16.1670786 48.4194424, 16.1671335 48.4191726, 16.1672291 48.418867, 16.1673381 48.4185974, 16.1675012 48.4183009, 16.1676641 48.4180493, 16.1678677 48.4177708, 16.1681117 48.4175014, 16.1683151 48.4172949, 16.1686131 48.4170525, 16.1689787 48.4167832, 16.1696015 48.4163795, 16.1708467 48.4156438, 16.1739191 48.4138137, 16.1742845 48.4135893)"
214714619;214714620;"LINESTRING (15.986002 48.4018304, 15.9891872 48.4001494, 15.9909898 48.3991926, 15.9916256 48.3990416, 15.9918016 48.3989792, 15.9921127 48.3988992, 15.9924643 48.3988283, 15.9928158 48.3987664, 15.9931266 48.3987403, 15.9945047 48.3986545, 16.0054615 48.3979401, 16.0274689 48.3965084, 16.0595253 48.3944136, 16.0639695 48.3941185, 16.0639907532242 48.3941173681114)"
214714620;214714621;"LINESTRING (16.0644558 48.3940926, 16.0803275 48.3930499, 16.0884995 48.3925102, 16.0968605 48.3919523, 16.1027225 48.3915687, 16.1053428 48.3913941, 16.1059403214804 48.3913529663735)"
214714621;214714623;"LINESTRING (16.1059776 48.3913504, 16.1141491 48.3907999, 16.1172015 48.3906079, 16.1252917 48.3900565, 16.1291815 48.3897847, 16.144605 48.3887503, 16.1570702 48.387916, 16.1716148 48.3869215, 16.1760712 48.3866221, 16.1766654 48.3865869, 16.1771785 48.3865786, 16.1808913 48.3866017, 16.1846177 48.3866067, 16.1865214 48.3866092, 16.1876285 48.3866106, 16.1880606 48.3865932, 16.1883577 48.3865666, 16.1887628 48.3865221, 16.189087 48.3864686, 16.1894383 48.3863881, 16.1898706 48.3862807, 16.1903841 48.3861465, 16.1909786 48.3859854, 16.1914109 48.385887, 16.1917487 48.3858065, 16.1920863 48.3857529, 16.1925321 48.3856905, 16.1930587 48.3856552, 16.194166 48.3855846, 16.1946657 48.3855403, 16.1950708 48.3854868, 16.1957732 48.3853798, 16.1980019 48.3850138, 16.1988123 48.3848888, 16.1995822 48.3847549, 16.2006356 48.3846032, 16.2010004 48.3845137, 16.2016353 48.3843616, 16.2021081 48.3842632, 16.204391 48.3837802, 16.2066873 48.3833062, 16.2072411 48.3831989, 16.20793 48.3830738, 16.2085917 48.3829666, 16.2089834 48.3829041, 16.2093886 48.3828506, 16.2098612 48.3827882, 16.2114277 48.382592, 16.2124136 48.3824582)"
214714623;214714625;"LINESTRING (16.2125110570905 48.3824426990333, 16.2134805 48.3822885, 16.2184368 48.3815472, 16.2201384 48.3812882, 16.2207866 48.3811989, 16.2213538 48.3811365, 16.2220965 48.3810473, 16.222272 48.3810205, 16.2239196 48.3807703, 16.2326701 48.3794835, 16.2348171 48.3791617, 16.2377744 48.3787236, 16.2397458 48.3784195, 16.2406775 48.3782764, 16.2474964 48.3772387, 16.2482256 48.3771313, 16.2502105 48.3767911, 16.2542881 48.3761735, 16.2550712 48.3760482, 16.2558678 48.3759139, 16.2559973552219 48.3758924007271)"
